slide,method,ws_regions,components,kept,deleted_oversize,deleted_undersize,secs
280120-39,fix_B_labels_local_seeds,291.0,,124,7.0,160.0,71.90021705627441
280120-39,cellpose_sam,,,152,,,8.479543924331665
280120-40,original,109.0,85.0,66,13.0,6.0,0.6464242935180664
280120-40,fix_A_labels,109.0,,84,6.0,19.0,26.546565771102905
280120-40,fix_B_labels_local_seeds,211.0,,114,15.0,82.0,52.15851187705994
280120-40,cellpose_sam,,,144,,,9.960188388824463
280120-41,original,117.0,85.0,63,12.0,10.0,0.6169395446777344
280120-41,fix_A_labels,117.0,,76,6.0,35.0,28.461230516433716
280120-41,fix_B_labels_local_seeds,223.0,,96,18.0,109.0,55.398831605911255
280120-41,cellpose_sam,,,144,,,9.918585777282715
