slide,inst,rec@0.5,area,ecc,extent,axis_ratio
280120-07,153,1,7989,0.7967188245328359,0.6526960784313726,1.6546698717194073
280120-07,154,0,8050,0.5902865754240256,0.7715161970481119,1.2388599307415955
280120-07,155,0,8907,0.6135470876001758,0.6507159555815313,1.266370793606007
280120-07,156,0,8082,0.7112446162995162,0.695046439628483,1.4225872352685958
280120-07,157,1,9753,0.7410180582581508,0.7234089897641299,1.4892363247149458
280120-07,158,1,8305,0.7479259505960505,0.7816470588235294,1.5065183151146184
280120-07,159,1,7655,0.6446633461485951,0.8054503367003367,1.3081016366110891
280120-07,160,1,7251,0.3460793310973885,0.7629419191919192,1.065864848761771
280120-07,161,1,14210,0.6745152173702217,0.8043244467085526,1.3545346100660711
280120-07,162,1,9600,0.6125659914534252,0.7665282657297988,1.2651510544928346
280120-07,163,0,5913,0.6472560607505488,0.6441176470588236,1.311866562391564
280120-07,164,1,8448,0.3641861669881497,0.7737680893936618,1.0737376782952308
280120-07,165,0,7460,0.8772825831864934,0.5445255474452555,2.0834451531460902
280120-07,166,0,6665,0.4638895680863221,0.7889441287878788,1.1288044504556805
280120-07,167,1,10325,0.7812555929718671,0.6573083778966132,1.602021723032114
280120-07,168,0,8859,0.6948161023414816,0.7298566485417697,1.3904580845604495
280120-07,169,1,10203,0.4444925842616791,0.7596604869332142,1.1163423772908585
280120-07,170,0,6877,0.7060397485589189,0.6360525342212356,1.4120859184021133
280120-07,171,1,10184,0.4798328249068446,0.752030719243834,1.1397830663567894
280120-07,172,0,7123,0.7775378906720076,0.7079109520969986,1.5902395159754363
280120-07,173,1,7793,0.3814936631304584,0.7793779377937794,1.081816185106444
280120-07,174,0,8319,0.685184452668312,0.7133424798490825,1.372929358803918
280120-07,175,0,7336,0.5705411543119193,0.6164705882352941,1.2176278229482256
280120-07,176,0,4503,0.8512633244182256,0.5554459109411619,1.9057102337184333
280120-07,177,0,9235,0.5970211721542394,0.637336093857833,1.2465323347642163
280120-07,178,0,8141,0.6375880378567302,0.6889227384276889,1.298064908121923
280120-07,179,0,6840,0.6153594054775434,0.7091022185361808,1.2686384182137045
280120-07,180,0,6533,0.9902665409437784,0.3943619461547748,7.1847353551791375
280120-07,181,0,5603,0.749576491930509,0.6018259935553169,1.5107617654198515
280120-07,182,1,8361,0.8497108639879178,0.5571028784648188,1.8966372787821808
280120-07,183,0,5117,0.5063726415823231,0.6685393258426966,1.1596693512354923
